20:30:27.428 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.428 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.428 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.428 [main] DEBUG reversi.Kordinata - konstruktor meghívva.
20:30:27.428 [main] DEBUG reversi.Kordinata - konstruktor meghívva.
20:30:27.428 [main] DEBUG reversi.Bejar - metódus meghívása metörtént.
20:30:27.428 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.428 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.428 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.428 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.428 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.428 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.428 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.428 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.428 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.428 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.428 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.428 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.429 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.429 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.429 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.429 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.429 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.429 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.429 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.429 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.429 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.429 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.429 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.429 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.429 [main] DEBUG reversi.Kordinata - konstruktor meghívva.
20:30:27.429 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.429 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.429 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.429 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.429 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.429 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.430 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.430 [main] DEBUG reversi.Kordinata - konstruktor meghívva.
20:30:27.430 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.430 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.430 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.430 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.430 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.430 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.430 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.430 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.430 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.430 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.430 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.430 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.430 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.430 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.430 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.430 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.430 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.431 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.431 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.431 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.431 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.431 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.431 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.431 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.431 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.431 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.431 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.431 [main] DEBUG reversi.Bejar - metódus meghívása metörtént.
20:30:27.431 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.431 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.431 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.431 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.431 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.431 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.431 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.431 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.432 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.432 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.432 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.432 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.432 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.432 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.432 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.432 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.432 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.432 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.432 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.432 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.432 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.432 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.432 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.432 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.432 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.432 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.432 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.432 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.433 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.433 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.433 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.433 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.433 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.433 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.433 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.433 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.433 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.433 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.433 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.433 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.433 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.433 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.433 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.433 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.433 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.433 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
